Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
192418000,00000260,0,R,0,8,00,03,00,00,92,00,00,00
192614000,0000040C,0,R,0,6,11,31,00,00,00,00,,
197749000,00000402,0,R,0,6,02,02,10,04,00,00,,
198655000,00000407,0,R,0,6,0A,01,00,00,00,00,,
198875000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
199152000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
199385000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
199615000,0000040A,0,R,0,6,0B,01,00,00,00,00,,
199912000,00000703,0,R,0,8,76,50,0C,18,04,00,00,00
200171000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
200414000,00000570,0,R,0,4,00,00,00,00,,,,
200660000,00000400,0,R,0,6,01,01,00,00,00,00,,
200964000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
201907000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
202119000,0000040C,0,R,0,6,11,01,00,00,00,00,,
202319000,00000325,0,R,0,8,FF,7F,00,00,78,2A,00,0F
202566000,00000164,0,R,0,8,80,00,06,00,00,00,00,00
202768000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
202973000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
203190000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
203462000,00000522,0,R,0,8,00,00,00,00,00,00,00,00
203683000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
203904000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
204894000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
205127000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
205356000,00000164,0,R,0,8,80,00,06,00,00,00,00,00
205590000,00000402,0,R,0,6,03,01,00,00,00,00,,
205878000,00000522,0,R,0,8,00,00,00,00,00,00,00,00
206132000,00000407,0,R,0,6,0A,11,00,00,00,00,,
206382000,00000325,0,R,0,8,FF,7F,00,00,78,2C,00,0F
206642000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
206967000,00000461,0,R,0,8,00,00,00,17,1B,80,00,00
207254000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
208147000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
208358000,0000040C,0,R,0,6,11,31,00,00,00,00,,
210471000,00000402,0,R,0,6,02,02,10,04,00,00,,
211380000,0000040A,0,R,0,6,0B,01,00,00,00,00,,
211613000,00000400,0,R,0,6,01,01,00,00,00,00,,
211905000,0000040A,0,R,0,6,0B,01,00,00,00,00,,
212155000,00000263,0,R,0,4,20,80,A0,00,,,,
212401000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
212649000,00000263,0,R,0,4,70,80,F0,00,,,,
212952000,00000400,0,R,0,6,01,01,00,00,00,00,,
213204000,0000040B,0,R,0,6,0C,01,00,00,00,00,,
213407000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
213656000,00000522,0,R,0,8,00,00,00,00,00,00,00,00
214573000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
214781000,0000040C,0,R,0,6,11,01,00,00,00,00,,
214994000,00000261,0,R,0,8,0A,08,00,FA,00,00,00,00
215263000,00000263,0,R,0,4,10,80,90,00,,,,
215481000,00000703,0,R,0,8,76,50,0C,18,04,00,00,00
215703000,00000400,0,R,0,6,01,11,00,00,00,00,,
215929000,0000070B,0,R,0,8,16,50,16,D4,05,50,00,01
216207000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
216451000,00000263,0,R,0,4,D0,80,50,00,,,,
216690000,00000403,0,R,0,6,07,11,00,00,00,00,,
217654000,00000162,0,R,0,2,00,00,,,,,,
217965000,00000402,0,R,0,6,03,01,00,00,00,00,,
218214000,00000411,0,R,0,6,00,11,00,00,00,00,,
218460000,00000263,0,R,0,4,10,80,90,00,,,,
218760000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
219003000,00000263,0,R,0,4,60,80,E0,00,,,,
219267000,00000325,0,R,0,8,FF,7F,00,00,78,2C,00,0F
219549000,00000703,0,R,0,8,76,50,0C,18,04,00,00,00
219812000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
220017000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
220939000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
221150000,0000040C,0,R,0,6,11,31,00,00,00,00,,
225128000,00000402,0,R,0,6,02,02,10,01,00,00,,
226055000,0000040A,0,R,0,6,0B,01,00,00,00,00,,
226293000,00000400,0,R,0,6,01,01,00,00,00,00,,
226515000,00000263,0,R,0,4,80,80,00,00,,,,
226785000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
227016000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
